,Week,NPS,NPS_SMA_3,NPS_SMA_5,Stock Index,Stock Index_SMA_3,Stock Index_SMA_5
0,28,54.599588092376216,0.0,0.0,1177.0,0.0,0.0
1,29,54.599588092376216,0.0,0.0,1177.0,0.0,0.0
2,30,54.599588092376216,54.599588092376216,0.0,1177.0,1177.0,0.0
3,31,54.599588092376216,54.599588092376216,0.0,1177.0,1177.0,0.0
4,32,59.987101024,56.39542573625081,55.67709067870097,1206.0,1186.6666666666667,1182.8
5,33,59.987101024,58.1912633801254,56.75459326502572,1206.0,1196.3333333333333,1188.6
6,34,59.987101024,59.98710102399999,57.83209585135047,1206.0,1206.0,1194.4
7,35,59.987101024,59.98710102399999,58.90959843767522,1206.0,1206.0,1200.2
8,36,59.987101024,59.98710102399999,59.98710102399997,1206.0,1206.0,1206.0
9,37,46.925418687263985,55.63320691175465,57.37476455665276,1101.0,1171.0,1185.0
10,38,46.925418687263985,51.27931279950931,54.76242808930556,1101.0,1136.0,1164.0
11,39,46.925418687263985,46.92541868726398,52.15009162195836,1101.0,1101.0,1143.0
12,40,46.925418687263985,46.92541868726399,49.537755154611155,1101.0,1101.0,1122.0
13,41,44.3983889339963,46.08307543617476,46.42001273661042,1210.0,1137.3333333333333,1122.8
14,42,44.3983889339963,45.24073218508553,45.91460678595688,1210.0,1173.6666666666667,1144.6
15,43,44.3983889339963,44.398388933996294,45.40920083530335,1210.0,1210.0,1166.4
16,44,44.3983889339963,44.398388933996294,44.90379488464981,1210.0,1210.0,1188.2
17,45,46.99999999999999,45.265592622664194,44.918711147197016,1233.0,1217.6666666666667,1214.6
18,46,46.99999999999999,46.13279631133209,45.43903336039776,1233.0,1225.3333333333333,1219.2
19,47,46.99999999999999,46.99999999999999,45.95935557359849,1233.0,1233.0,1223.8
20,48,46.99999999999999,46.99999999999999,46.47967778679923,1233.0,1233.0,1228.4
21,49,46.99999999999999,46.99999999999999,46.99999999999996,1233.0,1233.0,1233.0
22,50,45.8,46.59999999999999,46.759999999999955,1038.0,1168.0,1194.0
23,51,45.8,46.19999999999999,46.51999999999996,1038.0,1103.0,1155.0
24,52,45.8,45.79999999999999,46.27999999999996,1038.0,1038.0,1116.0
25,53,45.8,45.79999999999999,46.039999999999964,1038.0,1038.0,1077.0
26,1,47.09303132503366,46.23101044167788,46.0586062650067,1052.0,1042.6666666666667,1040.8
27,2,47.09303132503366,46.66202088335577,46.317212530013435,1052.0,1047.3333333333333,1043.6
28,3,47.09303132503366,47.09303132503366,46.57581879502017,1052.0,1052.0,1046.4
29,4,47.09303132503366,47.09303132503366,46.8344250600269,1052.0,1052.0,1049.2
30,5,50.32740649908032,48.171156383049215,47.73990635984296,1222.0,1108.6666666666667,1086.0
31,6,50.32740649908032,49.249281441064774,48.386781394652296,1222.0,1165.3333333333333,1120.0
32,7,50.32740649908032,50.32740649908033,49.03365642946163,1222.0,1222.0,1154.0
33,8,50.32740649908032,50.32740649908033,49.680531464270956,1222.0,1222.0,1188.0
34,9,50.32740649908032,50.32740649908033,50.32740649908028,1222.0,1222.0,1222.0
35,10,49.02055041461363,49.89178780425811,50.066035282186945,1015.0,1153.0,1180.6
36,11,49.02055041461363,49.456169109435876,49.80466406529361,1015.0,1084.0,1139.2
37,12,49.02055041461363,49.020550414613645,49.54329284840027,1015.0,1015.0,1097.8
38,13,49.02055041461363,49.020550414613645,49.28192163150693,1015.0,1015.0,1056.4
39,14,51.82760501909438,49.95623528277389,49.581961335509746,1242.0,1090.6666666666667,1060.4
40,15,51.82760501909438,50.89192015093414,50.1433722564059,1242.0,1166.3333333333333,1105.8
41,16,51.82760501909438,51.82760501909439,50.70478317730205,1242.0,1242.0,1151.2
42,17,51.82760501909438,51.82760501909439,51.2661940981982,1242.0,1242.0,1196.6
43,18,47.306951226359324,50.320720421516036,50.92347426054734,1228.0,1237.3333333333333,1239.2
44,19,47.306951226359324,48.81383582393769,50.019343502000325,1228.0,1232.6666666666667,1236.4
45,20,47.306951226359324,47.30695122635933,49.11521274345331,1228.0,1228.0,1233.6
46,21,47.306951226359324,47.30695122635933,48.2110819849063,1228.0,1228.0,1230.8
47,22,47.306951226359324,47.30695122635933,47.30695122635929,1228.0,1228.0,1228.0
48,23,50.516687050376724,48.37686316769847,47.948898391162764,1194.0,1216.6666666666667,1221.2
49,24,50.516687050376724,49.446775109037596,48.59084555596625,1194.0,1205.3333333333333,1214.4
50,25,50.516687050376724,50.51668705037673,49.23279272076972,1194.0,1194.0,1207.6
51,26,50.516687050376724,50.51668705037673,49.874739885573206,1194.0,1194.0,1200.8
